Description,Elevation,Heading,Heartbeat,Latitude,Longitude,Pressure,Speed,Temperature,Time
Position 1,137.0,0.0,0,50.85591,4.3693,0.0,0.0,0.0,05.08.22 06:51:08
Position 2,137.0,0.0,0,50.85593,4.36922,0.0,0.0,0.0,05.08.22 06:51:14
Position 3,137.0,0.0,0,50.85593,4.36917,0.0,0.0,0.0,05.08.22 06:51:17
Position 4,132.0,0.0,0,50.85581,4.36821,0.0,0.0,0.0,05.08.22 06:51:59
Position 5,132.0,0.0,0,50.8558,4.3682,0.0,0.0,0.0,05.08.22 06:52:02
Position 6,132.0,0.0,0,50.85579,4.36819,0.0,0.0,0.0,05.08.22 06:52:05
Position 7,131.0,0.0,0,50.85577,4.36818,0.0,0.0,0.0,05.08.22 06:52:08
Position 8,131.0,0.0,0,50.85574,4.36817,0.0,0.0,0.0,05.08.22 06:52:11
Position 9,130.0,0.0,0,50.85544,4.36784,0.0,0.0,0.0,05.08.22 06:52:32
Position 10,130.0,0.0,0,50.85546,4.36778,0.0,0.0,0.0,05.08.22 06:52:35
Position 11,129.0,0.0,0,50.8555,4.36771,0.0,0.0,0.0,05.08.22 06:52:38
Position 12,128.0,0.0,0,50.85552,4.36766,0.0,0.0,0.0,05.08.22 06:52:41
Position 13,128.0,0.0,0,50.85554,4.36763,0.0,0.0,0.0,05.08.22 06:52:44
Position 14,127.0,0.0,0,50.85555,4.36762,0.0,0.0,0.0,05.08.22 06:52:47
Position 15,126.0,0.0,0,50.85557,4.36756,0.0,0.0,0.0,05.08.22 06:52:50
Position 16,125.0,0.0,0,50.85558,4.36747,0.0,0.0,0.0,05.08.22 06:52:53
Position 17,125.0,0.0,0,50.8556,4.36738,0.0,0.0,0.0,05.08.22 06:52:56
Position 18,124.0,0.0,0,50.85562,4.36729,0.0,0.0,0.0,05.08.22 06:52:59
Position 19,122.0,0.0,0,50.85565,4.36726,0.0,0.0,0.0,05.08.22 06:53:02
Position 20,121.0,0.0,0,50.8557,4.36717,0.0,0.0,0.0,05.08.22 06:53:05
Position 21,121.0,0.0,0,50.85574,4.36712,0.0,0.0,0.0,05.08.22 06:53:08
Position 22,121.0,0.0,0,50.85576,4.36709,0.0,0.0,0.0,05.08.22 06:53:11
Position 23,121.0,0.0,0,50.85581,4.36709,0.0,0.0,0.0,05.08.22 06:53:14
Position 24,121.0,0.0,0,50.85584,4.36708,0.0,0.0,0.0,05.08.22 06:53:17
Position 25,121.0,0.0,0,50.85587,4.36708,0.0,0.0,0.0,05.08.22 06:53:20
Position 26,121.0,0.0,0,50.85587,4.36708,0.0,0.0,0.0,05.08.22 06:53:23
Position 27,121.0,0.0,0,50.85589,4.36707,0.0,0.0,0.0,05.08.22 06:53:26
Position 28,121.0,0.0,0,50.85587,4.36708,0.0,0.0,0.0,05.08.22 06:53:29
Position 29,122.0,0.0,0,50.85585,4.36711,0.0,0.0,0.0,05.08.22 06:53:32
Position 30,122.0,0.0,0,50.85587,4.36712,0.0,0.0,0.0,05.08.22 06:53:35
Position 31,122.0,0.0,0,50.85587,4.36712,0.0,0.0,0.0,05.08.22 06:53:38
Position 32,126.0,0.0,0,50.85587,4.36713,0.0,0.0,0.0,05.08.22 06:53:41
Position 33,127.0,0.0,0,50.85586,4.36713,0.0,0.0,0.0,05.08.22 06:53:44
Position 34,127.0,0.0,0,50.85585,4.36713,0.0,0.0,0.0,05.08.22 06:53:47
Position 35,127.0,0.0,0,50.85586,4.36714,0.0,0.0,0.0,05.08.22 06:53:50
Position 36,127.0,0.0,0,50.85586,4.36715,0.0,0.0,0.0,05.08.22 06:53:53
Position 37,127.0,0.0,0,50.85587,4.36719,0.0,0.0,0.0,05.08.22 06:53:56
Position 38,127.0,0.0,0,50.85588,4.3672,0.0,0.0,0.0,05.08.22 06:53:59
Position 39,127.0,0.0,0,50.85587,4.36719,0.0,0.0,0.0,05.08.22 06:54:02
Position 40,127.0,0.0,0,50.85586,4.36719,0.0,0.0,0.0,05.08.22 06:54:05
Position 41,127.0,0.0,0,50.85586,4.36719,0.0,0.0,0.0,05.08.22 06:54:11
Position 42,127.0,0.0,0,50.85586,4.36719,0.0,0.0,0.0,05.08.22 06:54:14
Position 43,127.0,0.0,0,50.85586,4.36719,0.0,0.0,0.0,05.08.22 06:54:17
Position 44,127.0,0.0,0,50.85586,4.36719,0.0,0.0,0.0,05.08.22 06:54:20
Position 45,127.0,0.0,0,50.85586,4.36719,0.0,0.0,0.0,05.08.22 06:54:23
Position 46,127.0,0.0,0,50.85586,4.36719,0.0,0.0,0.0,05.08.22 06:54:26
Position 47,127.0,0.0,0,50.85586,4.36719,0.0,0.0,0.0,05.08.22 06:54:29
Position 48,127.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:54:32
Position 49,127.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:54:35
Position 50,127.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:54:41
Position 51,127.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:54:44
Position 52,127.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:54:47
Position 53,127.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:54:50
Position 54,126.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:54:53
Position 55,126.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:54:56
Position 56,127.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:54:59
Position 57,127.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:02
Position 58,126.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:08
Position 59,126.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:11
Position 60,126.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:14
Position 61,126.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:17
Position 62,126.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:20
Position 63,126.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:23
Position 64,126.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:26
Position 65,126.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:29
Position 66,126.0,0.0,0,50.85585,4.3672,0.0,0.0,0.0,05.08.22 06:55:32
Position 67,126.0,0.0,0,50.85586,4.3672,0.0,0.0,0.0,05.08.22 06:55:35
Position 68,126.0,0.0,0,50.85586,4.3672,0.0,0.0,0.0,05.08.22 06:55:38
Position 69,126.0,0.0,0,50.85585,4.3672,0.0,0.0,0.0,05.08.22 06:55:41
Position 70,125.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:44
Position 71,125.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:47
Position 72,125.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:53
Position 73,125.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:55:56
Position 74,125.0,0.0,0,50.85585,4.36718,0.0,0.0,0.0,05.08.22 06:55:59
Position 75,125.0,0.0,0,50.85585,4.36718,0.0,0.0,0.0,05.08.22 06:56:02
Position 76,125.0,0.0,0,50.85585,4.36718,0.0,0.0,0.0,05.08.22 06:56:05
Position 77,125.0,0.0,0,50.85585,4.36718,0.0,0.0,0.0,05.08.22 06:56:08
Position 78,125.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:56:11
Position 79,125.0,0.0,0,50.85585,4.36719,0.0,0.0,0.0,05.08.22 06:56:14
Position 80,125.0,0.0,0,50.85584,4.36719,0.0,0.0,0.0,05.08.22 06:56:17
Position 81,125.0,0.0,0,50.85584,4.36719,0.0,0.0,0.0,05.08.22 06:56:20
Position 82,126.0,0.0,0,50.85584,4.36719,0.0,0.0,0.0,05.08.22 06:56:23
Position 83,126.0,0.0,0,50.85584,4.36719,0.0,0.0,0.0,05.08.22 06:56:26
Position 84,126.0,0.0,0,50.85584,4.36719,0.0,0.0,0.0,05.08.22 06:56:29
Position 85,126.0,0.0,0,50.85584,4.36719,0.0,0.0,0.0,05.08.22 06:56:32
Position 86,125.0,0.0,0,50.85584,4.3672,0.0,0.0,0.0,05.08.22 06:56:35
Position 87,125.0,0.0,0,50.85585,4.36721,0.0,0.0,0.0,05.08.22 06:56:38
Position 88,125.0,0.0,0,50.85587,4.36722,0.0,0.0,0.0,05.08.22 06:56:41
Position 89,125.0,0.0,0,50.85586,4.36721,0.0,0.0,0.0,05.08.22 06:56:44
Position 90,125.0,0.0,0,50.85583,4.3672,0.0,0.0,0.0,05.08.22 06:56:47
Position 91,126.0,0.0,0,50.85584,4.3672,0.0,0.0,0.0,05.08.22 06:56:50
Position 92,126.0,0.0,0,50.85586,4.36721,0.0,0.0,0.0,05.08.22 06:56:53
Position 93,126.0,0.0,0,50.85588,4.36723,0.0,0.0,0.0,05.08.22 06:56:59
Position 94,143.0,0.0,0,50.83583,4.3551,0.0,0.0,0.0,05.08.22 07:07:07
Position 95,142.0,0.0,0,50.83582,4.35513,0.0,0.0,0.0,05.08.22 07:07:10
Position 96,142.0,0.0,0,50.8358,4.35509,0.0,0.0,0.0,05.08.22 07:07:13
Position 97,142.0,0.0,0,50.8358,4.35508,0.0,0.0,0.0,05.08.22 07:07:16
Position 98,142.0,0.0,0,50.8358,4.35508,0.0,0.0,0.0,05.08.22 07:07:19
Position 99,142.0,0.0,0,50.8358,4.35508,0.0,0.0,0.0,05.08.22 07:07:22
Position 100,142.0,0.0,0,50.8358,4.35507,0.0,0.0,0.0,05.08.22 07:07:25
Position 101,142.0,0.0,0,50.8358,4.35507,0.0,0.0,0.0,05.08.22 07:07:28
Position 102,142.0,0.0,0,50.8358,4.35507,0.0,0.0,0.0,05.08.22 07:07:31
Position 103,142.0,0.0,0,50.8358,4.35507,0.0,0.0,0.0,05.08.22 07:07:34
Position 104,142.0,0.0,0,50.8358,4.35507,0.0,0.0,0.0,05.08.22 07:07:37
Position 105,142.0,0.0,0,50.83579,4.35507,0.0,0.0,0.0,05.08.22 07:07:40
Position 106,142.0,0.0,0,50.83579,4.35507,0.0,0.0,0.0,05.08.22 07:07:43
Position 107,142.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:07:46
Position 108,141.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:07:49
Position 109,141.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:07:52
Position 110,141.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:07:55
Position 111,141.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:07:58
Position 112,141.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:01
Position 113,141.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:04
Position 114,141.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:07
Position 115,141.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:10
Position 116,141.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:13
Position 117,140.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:19
Position 118,140.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:25
Position 119,140.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:28
Position 120,140.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:31
Position 121,140.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:34
Position 122,140.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:37
Position 123,140.0,0.0,0,50.83579,4.35506,0.0,0.0,0.0,05.08.22 07:08:40
Position 124,140.0,0.0,0,50.83579,4.35505,0.0,0.0,0.0,05.08.22 07:08:43
Position 125,140.0,0.0,0,50.83579,4.35504,0.0,0.0,0.0,05.08.22 07:08:46
Position 126,140.0,0.0,0,50.83579,4.35504,0.0,0.0,0.0,05.08.22 07:08:49
Position 127,140.0,0.0,0,50.83579,4.35504,0.0,0.0,0.0,05.08.22 07:08:52
Position 128,140.0,0.0,0,50.83579,4.35504,0.0,0.0,0.0,05.08.22 07:08:55
Position 129,140.0,0.0,0,50.83579,4.35504,0.0,0.0,0.0,05.08.22 07:08:58
Position 130,140.0,0.0,0,50.83579,4.35504,0.0,0.0,0.0,05.08.22 07:09:01
Position 131,140.0,0.0,0,50.83579,4.35505,0.0,0.0,0.0,05.08.22 07:09:04
Position 132,140.0,0.0,0,50.83579,4.35505,0.0,0.0,0.0,05.08.22 07:09:07
Position 133,140.0,0.0,0,50.83579,4.35505,0.0,0.0,0.0,05.08.22 07:09:10
Position 134,140.0,0.0,0,50.8358,4.35505,0.0,0.0,0.0,05.08.22 07:09:13
Position 135,140.0,0.0,0,50.8358,4.35505,0.0,0.0,0.0,05.08.22 07:09:16
Position 136,140.0,0.0,0,50.8358,4.35505,0.0,0.0,0.0,05.08.22 07:09:19
Position 137,140.0,0.0,0,50.8358,4.35505,0.0,0.0,0.0,05.08.22 07:09:22
Position 138,140.0,0.0,0,50.8358,4.35505,0.0,0.0,0.0,05.08.22 07:09:25
Position 139,140.0,0.0,0,50.8358,4.35504,0.0,0.0,0.0,05.08.22 07:09:28
Position 140,140.0,0.0,0,50.8358,4.35504,0.0,0.0,0.0,05.08.22 07:09:31
Position 141,140.0,0.0,0,50.8358,4.35504,0.0,0.0,0.0,05.08.22 07:09:34
Position 142,141.0,0.0,0,50.83581,4.35505,0.0,0.0,0.0,05.08.22 07:09:37
Position 143,141.0,0.0,0,50.8358,4.35506,0.0,0.0,0.0,05.08.22 07:09:40
Position 144,141.0,0.0,0,50.83581,4.35505,0.0,0.0,0.0,05.08.22 07:09:43
Position 145,141.0,0.0,0,50.83581,4.35505,0.0,0.0,0.0,05.08.22 07:09:46
Position 146,141.0,0.0,0,50.83581,4.35505,0.0,0.0,0.0,05.08.22 07:09:49
Position 147,141.0,0.0,0,50.8358,4.35504,0.0,0.0,0.0,05.08.22 07:09:52
Position 148,141.0,0.0,0,50.8358,4.35505,0.0,0.0,0.0,05.08.22 07:09:55
Position 149,141.0,0.0,0,50.8358,4.35504,0.0,0.0,0.0,05.08.22 07:09:58
Position 150,141.0,0.0,0,50.8358,4.35504,0.0,0.0,0.0,05.08.22 07:10:01
Position 151,141.0,0.0,0,50.83581,4.35505,0.0,0.0,0.0,05.08.22 07:10:04
Position 152,141.0,0.0,0,50.83581,4.35504,0.0,0.0,0.0,05.08.22 07:10:07
Position 153,141.0,0.0,0,50.83581,4.35502,0.0,0.0,0.0,05.08.22 07:10:10
Position 154,141.0,0.0,0,50.83581,4.35504,0.0,0.0,0.0,05.08.22 07:10:13
Position 155,141.0,0.0,0,50.8358,4.35506,0.0,0.0,0.0,05.08.22 07:10:16
Position 156,141.0,0.0,0,50.83579,4.35507,0.0,0.0,0.0,05.08.22 07:10:19
Position 157,140.0,0.0,0,50.83579,4.35508,0.0,0.0,0.0,05.08.22 07:10:22
Position 158,140.0,0.0,0,50.83579,4.35509,0.0,0.0,0.0,05.08.22 07:10:25
Position 159,140.0,0.0,0,50.83579,4.35508,0.0,0.0,0.0,05.08.22 07:10:28
Position 160,139.0,0.0,0,50.83578,4.35507,0.0,0.0,0.0,05.08.22 07:10:31
Position 161,139.0,0.0,0,50.83578,4.35506,0.0,0.0,0.0,05.08.22 07:10:34
Position 162,138.0,0.0,0,50.83578,4.35507,0.0,0.0,0.0,05.08.22 07:10:37
Position 163,138.0,0.0,0,50.83578,4.35506,0.0,0.0,0.0,05.08.22 07:10:40
Position 164,138.0,0.0,0,50.83578,4.35506,0.0,0.0,0.0,05.08.22 07:10:43
Position 165,148.0,0.0,0,50.82367,4.36715,0.0,0.0,0.0,05.08.22 07:16:12
Position 166,147.0,0.0,0,50.82362,4.36722,0.0,0.0,0.0,05.08.22 07:16:18
Position 167,145.0,0.0,0,50.82366,4.36736,0.0,0.0,0.0,05.08.22 07:16:33
Position 168,143.0,0.0,0,50.82365,4.36738,0.0,0.0,0.0,05.08.22 07:16:36
Position 169,142.0,0.0,0,50.8236,4.36741,0.0,0.0,0.0,05.08.22 07:16:39
Position 170,128.0,0.0,0,50.82349,4.36748,0.0,0.0,0.0,05.08.22 07:16:42
Position 171,118.0,0.0,0,50.82335,4.36756,0.0,0.0,0.0,05.08.22 07:16:45
Position 172,117.0,0.0,0,50.82325,4.36762,0.0,0.0,0.0,05.08.22 07:16:48
Position 173,116.0,0.0,0,50.82322,4.36763,0.0,0.0,0.0,05.08.22 07:17:03
Position 174,115.0,0.0,0,50.82315,4.36768,0.0,0.0,0.0,05.08.22 07:17:12
Position 175,85.0,0.0,0,50.81888,4.3708,0.0,0.0,0.0,05.08.22 07:18:33
Position 176,149.0,0.0,0,50.81605,4.37196,0.0,0.0,0.0,05.08.22 07:19:39
Position 177,150.0,0.0,0,50.81601,4.37193,0.0,0.0,0.0,05.08.22 07:19:42
Position 178,153.0,0.0,0,50.81591,4.37193,0.0,0.0,0.0,05.08.22 07:20:03
Position 179,154.0,0.0,0,50.81581,4.37194,0.0,0.0,0.0,05.08.22 07:20:06
Position 180,155.0,0.0,0,50.81575,4.37197,0.0,0.0,0.0,05.08.22 07:20:09
Position 181,156.0,0.0,0,50.81567,4.37209,0.0,0.0,0.0,05.08.22 07:20:15
Position 182,150.0,0.0,0,50.81569,4.37296,0.0,0.0,0.0,05.08.22 07:20:27
Position 183,150.0,0.0,0,50.81569,4.37364,0.0,0.0,0.0,05.08.22 07:20:33
Position 184,192.0,0.0,0,50.81631,4.37748,0.0,0.0,0.0,05.08.22 07:21:09
Position 185,190.0,0.0,0,50.81638,4.37748,0.0,0.0,0.0,05.08.22 07:21:33
Position 186,189.0,0.0,0,50.81639,4.37759,0.0,0.0,0.0,05.08.22 07:21:36
Position 187,184.0,0.0,0,50.81645,4.37785,0.0,0.0,0.0,05.08.22 07:21:39
Position 188,183.0,0.0,0,50.81653,4.37802,0.0,0.0,0.0,05.08.22 07:21:42
Position 189,183.0,0.0,0,50.81663,4.37813,0.0,0.0,0.0,05.08.22 07:21:45
Position 190,182.0,0.0,0,50.81675,4.37821,0.0,0.0,0.0,05.08.22 07:21:48
Position 191,160.0,0.0,0,50.81775,4.37868,0.0,0.0,0.0,05.08.22 07:22:12
Position 192,158.0,0.0,0,50.81799,4.37877,0.0,0.0,0.0,05.08.22 07:22:45
Position 193,150.0,0.0,0,50.81794,4.38006,0.0,0.0,0.0,05.08.22 07:23:15
Position 194,156.0,0.0,0,50.81771,4.38062,0.0,0.0,0.0,05.08.22 07:23:36
Position 195,155.0,0.0,0,50.81768,4.3807,0.0,0.0,0.0,05.08.22 07:23:39
Position 196,174.0,0.0,0,50.81546,4.38379,0.0,0.0,0.0,05.08.22 07:24:24
Position 197,175.0,0.0,0,50.81521,4.3839,0.0,0.0,0.0,05.08.22 07:24:27
Position 198,174.0,0.0,0,50.81471,4.38411,0.0,0.0,0.0,05.08.22 07:24:33
Position 199,174.0,0.0,0,50.81448,4.38418,0.0,0.0,0.0,05.08.22 07:24:36
Position 200,172.0,0.0,0,50.81408,4.38423,0.0,0.0,0.0,05.08.22 07:24:48
Position 201,173.0,0.0,0,50.81406,4.38423,0.0,0.0,0.0,05.08.22 07:24:51
Position 202,173.0,0.0,0,50.81402,4.3842,0.0,0.0,0.0,05.08.22 07:24:54
Position 203,174.0,0.0,0,50.81398,4.38421,0.0,0.0,0.0,05.08.22 07:24:57
Position 204,174.0,0.0,0,50.81395,4.38422,0.0,0.0,0.0,05.08.22 07:25:00
Position 205,174.0,0.0,0,50.81392,4.38422,0.0,0.0,0.0,05.08.22 07:25:03
Position 206,174.0,0.0,0,50.81388,4.38421,0.0,0.0,0.0,05.08.22 07:25:06
Position 207,174.0,0.0,0,50.81385,4.38419,0.0,0.0,0.0,05.08.22 07:25:09
Position 208,174.0,0.0,0,50.81382,4.38418,0.0,0.0,0.0,05.08.22 07:25:12
Position 209,174.0,0.0,0,50.81379,4.38416,0.0,0.0,0.0,05.08.22 07:25:15
Position 210,174.0,0.0,0,50.81376,4.38412,0.0,0.0,0.0,05.08.22 07:25:18
Position 211,174.0,0.0,0,50.81374,4.38409,0.0,0.0,0.0,05.08.22 07:25:21
Position 212,174.0,0.0,0,50.81369,4.38405,0.0,0.0,0.0,05.08.22 07:25:24
Position 213,174.0,0.0,0,50.81365,4.38402,0.0,0.0,0.0,05.08.22 07:25:27
Position 214,174.0,0.0,0,50.81361,4.38399,0.0,0.0,0.0,05.08.22 07:25:30
Position 215,174.0,0.0,0,50.81359,4.38395,0.0,0.0,0.0,05.08.22 07:25:33
Position 216,174.0,0.0,0,50.81356,4.38389,0.0,0.0,0.0,05.08.22 07:25:36
Position 217,173.0,0.0,0,50.81354,4.38386,0.0,0.0,0.0,05.08.22 07:25:39
Position 218,173.0,0.0,0,50.81352,4.38383,0.0,0.0,0.0,05.08.22 07:25:42
Position 219,173.0,0.0,0,50.8135,4.3838,0.0,0.0,0.0,05.08.22 07:25:45
Position 220,174.0,0.0,0,50.8135,4.38374,0.0,0.0,0.0,05.08.22 07:25:48
Position 221,174.0,0.0,0,50.8135,4.38373,0.0,0.0,0.0,05.08.22 07:25:51
Position 222,174.0,0.0,0,50.81348,4.38369,0.0,0.0,0.0,05.08.22 07:25:54
Position 223,174.0,0.0,0,50.81345,4.3836,0.0,0.0,0.0,05.08.22 07:25:57
Position 224,174.0,0.0,0,50.81327,4.38341,0.0,0.0,0.0,05.08.22 07:26:12
Position 225,174.0,0.0,0,50.81325,4.38342,0.0,0.0,0.0,05.08.22 07:26:15
Position 226,174.0,0.0,0,50.81324,4.38346,0.0,0.0,0.0,05.08.22 07:26:18
Position 227,174.0,0.0,0,50.81318,4.38349,0.0,0.0,0.0,05.08.22 07:26:21
Position 228,173.0,0.0,0,50.81314,4.38351,0.0,0.0,0.0,05.08.22 07:26:24
Position 229,173.0,0.0,0,50.81309,4.38351,0.0,0.0,0.0,05.08.22 07:26:27
Position 230,173.0,0.0,0,50.81305,4.38351,0.0,0.0,0.0,05.08.22 07:26:30
Position 231,173.0,0.0,0,50.81301,4.38352,0.0,0.0,0.0,05.08.22 07:26:33
Position 232,173.0,0.0,0,50.813,4.38354,0.0,0.0,0.0,05.08.22 07:26:36
Position 233,172.0,0.0,0,50.81297,4.38356,0.0,0.0,0.0,05.08.22 07:26:39
Position 234,171.0,0.0,0,50.81296,4.38357,0.0,0.0,0.0,05.08.22 07:26:42
Position 235,171.0,0.0,0,50.81291,4.38355,0.0,0.0,0.0,05.08.22 07:26:45
Position 236,171.0,0.0,0,50.81288,4.38346,0.0,0.0,0.0,05.08.22 07:26:48
Position 237,171.0,0.0,0,50.81286,4.38339,0.0,0.0,0.0,05.08.22 07:26:51
Position 238,170.0,0.0,0,50.81285,4.38335,0.0,0.0,0.0,05.08.22 07:26:54
Position 239,171.0,0.0,0,50.8128,4.38325,0.0,0.0,0.0,05.08.22 07:26:57
Position 240,171.0,0.0,0,50.81278,4.3832,0.0,0.0,0.0,05.08.22 07:27:00
Position 241,171.0,0.0,0,50.81277,4.38318,0.0,0.0,0.0,05.08.22 07:27:03
Position 242,171.0,0.0,0,50.81275,4.38311,0.0,0.0,0.0,05.08.22 07:27:06
Position 243,172.0,0.0,0,50.81274,4.38305,0.0,0.0,0.0,05.08.22 07:27:09
Position 244,172.0,0.0,0,50.81274,4.38303,0.0,0.0,0.0,05.08.22 07:27:12
Position 245,172.0,0.0,0,50.81271,4.38297,0.0,0.0,0.0,05.08.22 07:27:15
Position 246,171.0,0.0,0,50.81266,4.3829,0.0,0.0,0.0,05.08.22 07:27:21
Position 247,171.0,0.0,0,50.81264,4.3829,0.0,0.0,0.0,05.08.22 07:27:24
Position 248,171.0,0.0,0,50.81258,4.38286,0.0,0.0,0.0,05.08.22 07:27:27
Position 249,170.0,0.0,0,50.81251,4.38282,0.0,0.0,0.0,05.08.22 07:27:30
Position 250,169.0,0.0,0,50.81247,4.38281,0.0,0.0,0.0,05.08.22 07:27:33
Position 251,168.0,0.0,0,50.81244,4.3828,0.0,0.0,0.0,05.08.22 07:27:36
Position 252,168.0,0.0,0,50.81239,4.38276,0.0,0.0,0.0,05.08.22 07:27:39
Position 253,167.0,0.0,0,50.81235,4.38276,0.0,0.0,0.0,05.08.22 07:27:42
Position 254,166.0,0.0,0,50.81229,4.38275,0.0,0.0,0.0,05.08.22 07:27:48
Position 255,165.0,0.0,0,50.81216,4.38271,0.0,0.0,0.0,05.08.22 07:27:54
Position 256,164.0,0.0,0,50.81215,4.3827,0.0,0.0,0.0,05.08.22 07:27:57
Position 257,162.0,0.0,0,50.8121,4.38267,0.0,0.0,0.0,05.08.22 07:28:00
Position 258,162.0,0.0,0,50.81207,4.38265,0.0,0.0,0.0,05.08.22 07:28:03
Position 259,161.0,0.0,0,50.81203,4.38264,0.0,0.0,0.0,05.08.22 07:28:06
Position 260,160.0,0.0,0,50.81199,4.38263,0.0,0.0,0.0,05.08.22 07:28:09
Position 261,159.0,0.0,0,50.81195,4.38263,0.0,0.0,0.0,05.08.22 07:28:12
Position 262,159.0,0.0,0,50.8119,4.38262,0.0,0.0,0.0,05.08.22 07:28:15
Position 263,158.0,0.0,0,50.81188,4.38261,0.0,0.0,0.0,05.08.22 07:28:18
Position 264,158.0,0.0,0,50.81186,4.38261,0.0,0.0,0.0,05.08.22 07:28:21
